Receipe Image URL,Receipes,Cuisine,Veg-NonVeg,Cook Time,Effort,Ingredients,Receipe Method,Receipes URL
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1273686_8.jpg?itok=jVLaLL6T,Scotch eggs,british,non-vegetarian,30 mins,A challenge,"12 large eggs 800g good-quality Cumberland or Lincolnshire sausages, skinned 5 tbsp curly parsley, finely chopped 2 tsp Worcestershire sauce 2 tsp English mustardpowder 2 tsp ground mace 12 rashers smoked streaky bacon 85g plain flour 140-200g/5-7oz dried breadcrumbs about 1 litre/1ÃÂ¾ pints sunflower or vegetable oil, for frying scraps of bread, for testing oil","Put 9 eggs into a large saucepan. Cover with cold water and bring to the boil. Once boiling, set the timer for 5 mins. When 5 mins is up, quickly lift the eggs out with a slotted spoon and plunge into a big bowl of cold water.Put the sausagemeat, parsley, Worcestershire sauce, mustard powder and mace into a bowl with plenty of seasoning. Break in 1 of the remaining eggs and mix everything together.Crack remaining 2 eggs into a bowl, beat with a fork, then sieve onto a plate. Tip the flour onto another plate and season well. Finally, tip the breadcrumbs onto a third plate.Bring a large saucepan of water to the boil. Drop in the bacon rashers, turn off the pan and fish out the bacon with a pair of tongs Ã¢ÂÂ it should be just cooked.When the eggs are cool, tap lightly on a hard surface to crack the shell, then peel (Picture A). If you hold the eggs over the bowl of water as you peel, all the shell bits will collect in there and you can dip in the egg to wash off any fragments. Wrap a slice of bacon around the middle of each egg, overlapping, like a belt (Picture B).Now finish coating the eggs. I set up the ingredients along my bench like a conveyer belt: eggs, then flour, mince, beaten egg and finally breadcrumbs, plus a baking parchment-lined tray at the end to put the finished scotch eggs on.Roll your bacon-wrapped eggs in the flour, shaking off excess. Take a good chunk of mince and pat out to thinly cover one hand. Sit the egg on the meat (Picture C), then mould over the mince to cover, squeezing and patting so it is an even thickness. YouÃ¢ÂÂll probably have a gap (depending on how big your hands are Ã¢ÂÂ just patch and pat with a bit more mince). Dip in the egg, shaking off the excess, then roll in the breadcrumbs to coat, and transfer to your tray. Repeat to cover all 9 eggs, then cover with cling film and chill for 4 hrs or overnight.To cook, pour the oil in a large, deep saucepan to about 4cm deep. Heat until a small chunk of bread browns in about 1 min. Carefully lower in a scotch egg and fry for about 5 mins, turning gently, until evenly browned. Depending on your pan, you can probably do 2-3 at a time, but donÃ¢ÂÂt overcrowd. Lift out onto a kitchen paper-lined tray. (If you like your scotch eggs warm, pop them into a low oven while you fry the rest.) keep an eye on the oil Ã¢ÂÂ if the scotch eggs start browning too quickly, the oil might be too hot and you risk the pork not being cooked before the scotch egg is browned. If the oil gets too cool, the scotch egg may overcook before it is browned. enjoy warm or cold; best eaten within 24 hrs of frying.Watch our scotch egg video for an easy to follow tutorial.",https://www.bbcgoodfood.com/recipes/1414645/scotch-eggs
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--1001520_10.jpg?itok=i9aYFHY5,Fish pie - in four steps,british,non-vegetarian,30 mins,Easy,"400g skinless white fish fillet 400g skinless smoked haddock fillet 600ml full-fat milk 1 small onion, quartered 4 cloves 2 bay leaves 4 eggs small bunch parsley, leaves only, chopped 100g butter 50g plain flour pinch freshly grated nutmeg 1kg floury potato, peeled and cut into even-sized chunks 50g cheddar, grated","Poach 400g skinless whiteÃÂ fish fillets and 400g skinless smoked haddock fillets. Put the fish in the frying pan and pour over 500ml of the full-fat milk. Quarter 1 small onion and stud each quarter with a clove, then add to the milk, with 2ÃÂ bay leaves. Bring the milk just to the boil Ã¢ÂÂ you will see a few small bubbles. Reduce the heat and simmer for 8 mins. Lift the fish onto a plate and strain the milk into a jug to cool. Flake the fish into large pieces in the baking dish.Hard-boil 4ÃÂ eggs. Bring a small pan of water to a gentle boil, then carefully lower the eggs in with a slotted spoon. Bring the water back to a gentle boil, with just a couple of bubbles rising to the surface. Set the timer for 8 mins, cook, then drain and cool in a bowl of cold water. Peel, slice into quarters and arrange on top of the fish, then scatter over the chopped leaves of a small bunch of parsley.Make the sauce. Melt 50gÃÂ butter in a pan, stir in 50g plainÃÂ flour and cook for 1 min over moderate heat. Take off the heat, pour in a little of the cold poaching milk, then stir until blended. Continue to add the milk gradually, mixing well until you have a smooth sauce. Return to the heat, bring to the boil and cook for 5 mins, stirring continually, until it coats the back of a spoon. Remove from the heat, season with salt, pepper and a pinch of freshly grated nutmeg, then pour over the fish.Assemble and bake. Heat oven to 200C/fan 180C/gas 6. Boil 1kg flouryÃÂ potatoes, cut into even-sized chunks,ÃÂ for 20 mins. Drain, season and mash with the remaining 50g butter and 100ml full-fat milk. Use to top the pie, starting at the edge of the dish and working your way in Ã¢ÂÂ push the mash right to the edges to seal. Fluff the top with a fork, sprinkle over 50g grated cheddar, then bake for 30 mins. Make up to a day ahead, chill, then bake for 40 mins.",https://www.bbcgoodfood.com/recipes/3174/fish-pie-in-four-steps
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--879457_12.jpg?itok=1xIoE4Yc,Lemon & thyme butter-basted roast chicken & gravy,irish,non-vegetarian,1 hr,Easy,"50g butter, softened bunch fresh thymeor lemon thyme, leaves picked, stalks reserved, plus extra to serve 4 garlic cloves, 1 mashed, the other 3 left whole but squashed 2 lemons, halved 1 chicken, about 1ÃÂ½ kg 2 carrots, roughly chopped 1 onion, roughly chopped 2 bay leaves 1 tbsp plain flour 250ml chicken stock splash soy sauce(optional)","Heat oven to 200C/180C fan/gas 6. In a small bowl, mash the butter with one-third of the thyme leaves, the mashed garlic and the juice of half a lemon. Mix everything together with some seasoning and set aside.Use your hand to loosen the chicken skin away from the breast, then push most of the butter mix into the gap. Rub the rest of the butter all over the outside of the chicken, then stuff the cavity with the lemon halves, remaining thyme leaves and stalks, and the garlic.Scatter the chopped carrot, onion and bay leaves over the base of a small roasting tin. Sit the chicken on top, breast-side up, and roast on the middle shelf for 1 hr 30 mins, basting with the buttery juices after about 40 mins. When the chicken is dark golden, crispy-skinned and the juices run clear, remove from the oven and leave in the tin for 5 mins. Use a pair of tongs to pull the lemons, garlic and thyme out of the cavity and into the tin. Lift the chicken up, letting any juices dribble into the tin, and transfer the chicken to a serving platter to rest for at least another 15 mins.To make the gravy, squeeze the juice out of the cooked lemon halves and discard the skins. Place the tin on a low heat, stir in flour and sizzle until light brown. Gradually pour in the stock and cook for a few mins. If you like a darker gravy, add a splash of soy sauce to the tin. Strain the gravy into a jug and serve with the chicken.",https://www.bbcgoodfood.com/recipes/1916640/lemon-and-thyme-butterbasted-roast-chicken-and-gra
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--931487_11.jpg?itok=bD6O6EpX,"Rhubarb, pear & hazelnut crumbles",french,vegetarian,45 mins,Easy,"25g butter 3 pears, cored and halved 500g rhubarb, cut into chunks 2 tbsp soft light brown sugar ÃÂ½ tsp ground cinnamon ÃÂ¼ tsp ground cloves vanilla ice cream or double cream, to serve 50g roasted hazelnut 50g cold butter, diced 85g self-raising flour 1 tsp ground cinnamon 50g demerara sugar","Melt the butter in a pan, then add the pears, rhubarb, sugar, cinnamon and cloves, and cook over a low heat for 10-12 mins or until just tender. Divide the rhubarb between 4 ovenproof dishes (or use 1 large dish) and set aside.Heat oven to 200C/180C fan/gas 6. To make the crumble topping, tip all the ingredients into a food processor and pulse to crumbs. Sprinkle the topping over the fruit filling, then bake for 30 mins or until golden brown on top. Serve with vanilla ice cream or double cream.",https://www.bbcgoodfood.com/recipes/2063654/rhubarb-pear-and-hazelnut-crumbles
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--563494_12.jpg?itok=EzbXkPAE,Chicken & mushroom puff pie,french,non-vegetarian,30 mins,Easy,"1 tbsp vegetable oil 8 skinless boneless chicken thighs 8 rashers smoked streaky bacon, cut into large pieces 1 onion, halved and sliced 250g pack baby button mushrooms handful thyme sprigs 2 tbsp plain flour 400ml chicken stock 200ml milk 500g pack fresh puff pastry, or frozen and defrosted 1 egg, beaten","Heat 1 tbsp vegetable oil in a large, non-stick frying pan.Season 8 skinless, boneless chicken thighsÃÂ and fry for 5-8 mins until golden brown, turning occasionally. You may need to do this in two batches, depending on the size of your pan.ÃÂ Lift the chicken onto a plate and tip 8 smoked, streaky bacon rashers, cut into large pieces, into the pan. Fry for 5 mins until crisp.Add 1 halved and sliced onion, 250g baby button mushrooms and a handful of thyme sprigs, then fry on a high heat for another 3 mins until the onions start to colour.Tip 2 tbsp plain flour into the pan and cook, stirring, for 1 min.With the pan off the heat, gradually stir orÃÂ whiskÃÂ in 400ml chicken stock, followed by 200ml milk, then add the chicken back to the pan.ÃÂ Bring to the boil, then simmer for 30 mins. Spoon the filling into a large pie or baking dish (approx 20 x 30cm) with a lip and leave to cool.Heat oven to 220C/fan 200C/gas 7.ÃÂ On a floured surface, roll 500g puff pastry to the thickness of two ÃÂ£1 coins.ÃÂ Cut a long strip as wide as the rim of the pie dish and, using a little of the 1 beaten egg, fix to the edge of the pie dish.Brush with beaten egg, then lift the rest of the pastry over the pie, using the rolling pin to help. Gently press the edges with your fingers and trim with aÃÂ sharp knife.Brush lightly with egg to glaze, then bake for 30 mins or until the pastry is risen and dark golden brown.",https://www.bbcgoodfood.com/recipes/1765/chicken-and-mushroom-puff-pie
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--907451_11.jpg?itok=yaTjfp8-,Crispy topped Cumberland pie,british,non-vegetarian,3 hrs,Easy,"2 celerysticks, sliced into 1cm pieces 1 onion, chopped 2 really big carrots, halved lengthways then chunkily sliced 5 bay leaves 3 thymesprigs 2 tbsp vegetable oil 1 tbsp butter 2 tbsp each plain flour, tomato purÃÂ©eand Worcestershire sauce 2 beef stock cubes, crumbled 850g feather blade beef, or other braising cut, cut into large chunks 850g large potato 25g each mature cheddar and parmesan, finely grated","Heat oven to 160C/140C fan/gas 3. Soften the celery, onion, carrots, bay and 1 thyme sprig in a casserole with 1 tbsp oil and the butter for 10 mins. Stir in the flour, followed by the purÃÂ©e, Worcestershire sauce and stock cubes.Gradually stir in 600ml hot water, then tip in the beef and bring to a gentle simmer. Cover and cook in the oven for 2 hrs 30 mins, then uncover and cook for 30 mins -1 hr more until the meat is really tender and sauce thickened.Meanwhile, cook potatoes in a pan of boiling water until theyÃ¢ÂÂre not done but about ÃÂ¾ of the way there.Transfer meat to a baking dish. Slice spuds into 1cm thick rounds and gently toss with seasoning, the remaining oil and thyme leaves. Layer on the beef, scattering with the cheese as you layer. You can cover and chill the pie now for 1 day, or freeze for up to 3 months.Increase oven to 200C/180C fan/gas 6 and bake for 30-40 mins until golden and crispy, and sauce bubbling if the dish went in cold. Serve with peas.",https://www.bbcgoodfood.com/recipes/1958635/crispy-topped-cumberland-pie
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--484486_11.jpg?itok=PSVOHk3C,The ultimate makeover: Steak & kidney pie,greek,non-vegetarian,2 hrs,More effort,"200g lamb's kidneys, halved 1 tbsp rapeseed oil 2 medium onions, chopped 2 bay leaves 4 thymesprigs 600g lean stewing steak, cut into chunks 100ml red wine 2 tsp tomato purÃÂ©e 1 tsp English mustardpowder 2 tbsp plain flour 1 large carrot, chopped 4 flat mushrooms, quartered or halved if small 3 tbsp chopped parsley 140g plain flour, plus extra for dusting 1 tsp thyme leaves(optional) 25g very cold (or frozen) butter 4 tbsp 2% fat Greek yogurt 2 tbsp extra-virgin olive oil","Cut out and discard the thin tubes from the kidneys. Rinse the kidneys in cold water until the water runs clear, then chop them into small pieces. Heat the oil in a large saucepan or deep sautÃÂ© pan. Add the onions, bay and thyme sprigs and fry over a medium heat for 8-10 mins until the onions are really golden, stirring often. Put the kettle on.Add the steak and kidney to the pan and stir-fry briefly, just until it loses its pink colour. Turn up the heat, pour in the wine, stir to deglaze the bottom of the pan, then let it boil over a high heat for 2-3 mins until reduced and absorbed into the meat. Stir in the tomato purÃÂ©e and mustard powder. Sift in the flour, stirring, then stir for a couple of mins. Pour in 400ml boiling water and continue stirring until the mixture starts to boil and is thickened. Tip in the carrot and both mushrooms, reduce the heat, cover with a lid, then leave to simmer gently for about 1 hr, stirring occasionally. Remove the lid and simmer another 25-30 mins or until the meat is very tender and the gravy has thickened slightly.Remove from the heat and remove the bay leaves and thyme sprigs. Stir in the parsley, season to taste, then transfer to a pie or ovenproof dish (22-23cm in diameter, 6cm deep, 1.7-litre capacity or similar), then leave to cool slightly. Heat oven to 200C/180C fan/gas 6.While the meat is cooling, make the pastry. Put the flour, and thyme if using, into a bowl. Grate in the cold or frozen butter, make a well in the centre, then add the yogurt, olive oil, a pinch of salt and a good grinding of black pepper. Using a round-bladed knife, mix together with 2 tsp cold water, then gently gather together with your hands to form a dough. Remove from the bowl and knead briefly until smooth.Roll out the pastry on a lightly floured surface so itÃ¢ÂÂs slightly bigger than the top of the pie dish. Lay the pastry over the meat and trim the edges with scissors so it slightly overhangs the edge of the dish. Make 2 small slits in the centre. Flute the edges, then roll out the trimmings and cut out 6 diamond-shaped leaves. Dampen one side and lay them on the pastry lid. Place the dish on a baking sheet, then bake in the oven for about 25 mins or until the pastry is golden.",https://www.bbcgoodfood.com/recipes/13015/the-ultimate-makeover-steak-and-kidney-pie
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--424671_11.jpg?itok=W7ejnAFR,Spiced parsnip shepherd's pies,indian,non-vegetarian,1 hr,Easy,"2 tbsp sunflower oil 1 large onion, chopped 2 garlic cloves, crushed small knob of ginger, peeled and granted 2 tbsp medium curry powder 500g minced beef or lamb 400g can chopped tomato 100g frozen pea 600g parsnip, peeled and chopped into large chunks large potato, peeled and chopped into large chunks 1 green chilli, deseeded and chopped large bunch coriander, chopped 2 tsp turmeric juice of 1 lemon 50g butter","For the sauce, heat the oil in a pan and add the onion. Cook until soft, add the garlic, ginger and curry powder, then cook until aromatic. Turn up the heat, add the mince, fry until browned, then add the tomatoes and simmer for 20 mins until thickened. A few mins before the end, add the peas.Meanwhile, tip the parsnips and potatoes into a pan of cold water, bring to the boil, then cook for 10 mins. Drain, season and mash with the rest of the ingredients.Heat oven to 220C/fan 200C/gas 8. Assemble the pies in individual dishes (or one large one) by placing some meat sauce on the bottom and topping with mash. Ruffle up the tops with a fork, then bake for 20 mins until golden and bubbling.",https://www.bbcgoodfood.com/recipes/3439/spiced-parsnip-shepherds-pies
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/user-collections/my-colelction-image/2015/12/recipe-image-legacy-id--494513_11.jpg?itok=IYtQYfoi,Split pea & green pea smoked ham soup,irish,vegetarian,3 hrs,Easy,"1kg gammonor ham hock 200g split peas, soaked overnight 2 onions, roughly chopped 2 carrots, roughly chopped 2 bay leaves 1 stick celery, roughly chopped 300g frozen peas crusty breadand butter, to serve","Put the gammon in a very large pan with 2 litres water and bring to the boil. Remove from the heat and drain off the water Ã¢ÂÂ this helps to get rid of some of the saltiness. Recover with 2 litres cold water and bring to the boil again. Put everything but the frozen peas into the pan and bring to the boil. Reduce to a simmer and cook for 1ÃÂ½-2ÃÂ½ hrs, topping up the water as and when you need to, to a similar level it started at. As the ham cooks and softens, you can halve it if you want, so it is all submerged under the liquid. When the ham is tender enough to pull into shreds, it is ready.Lift out the ham, peel off and discard the skin. While it is still hot (wear a clean pair of rubber gloves), shred the meat. Remove bay from the soup and stir in the frozen peas. Simmer for 1 min, then blend until smooth. Add a splash of water if too thick, and return to the pan to heat through if it has cooled, or if you are making ahead.When you are ready to serve, mix the hot soup with most of the ham Ã¢ÂÂ gently reheat if made ahead. Serve in bowls with the remaining ham scattered on top, and eat with crusty bread and butter.",https://www.bbcgoodfood.com/recipes/1022639/split-pea-and-green-pea-smoked-ham-soup
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--804456_11.jpg?itok=gJJqBmSh,Herby toad in the hole,british,non-vegetarian,40 mins,Easy,140g plain flour 3 eggs 300ml milk 2 tsp Dijon mustard 2 tbsp vegetable oil 8 Cumberland sausages 8 sageleaves 4 rosemarysprigs,"Heat oven to 240C/220C fan/gas 9. In a food processor, combine the flour, eggs, milk, mustard and some salt and pepper, blitz until smooth, then leave to rest for 30 mins.Pour the oil into a metal roasting tin about 30 x 23cm and 7.5cm deep. Brush the oil all over the sides and bottom, then place in the oven. When the roasting tin is very hot and smoking, place the sausages inside, evenly spread out, and cook for 5 mins.Give the rested batter a stir and pour into the really hot tin Ã¢ÂÂ take care as it may spit. Quickly sprinkle over the sage leaves and rosemary, then place in the middle of the oven. Do not open the door for 25 mins, then check Ã¢ÂÂ if needed, cook for a further 5-10 mins. Cook until puffed up and brown and the batter is completely cooked through. Serve straight from the dish.",https://www.bbcgoodfood.com/recipes/1758645/herby-toad-in-the-hole
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--967650_11.jpg?itok=GHowINXf,Classic summer pudding,mexican,vegetarian,5 mins,More effort,"300g raspberry, plus a few extra to serve 225g blackberry, plus a few extra to serve 100g redcurrant, plus a few extra to serve 400g strawberry, hulled and quartered 140g golden caster sugar, plus a bit extra (optional) 400g briocheloaf clotted cream, to serve (optional)","Wash the fruit and place it all (except the strawberries) in a large pan with the caster sugar and 3 tbsp water. Gently heat for 3 mins until the juice from the fruit starts to seep out. Add the strawberries and cook for 2 mins more. Drain the juice from the fruit through a sieve set over a large bowl. Taste the juice and add a little more sugar if necessary.Line a 1.2-litre pudding basin with a double layer of cling film, leaving an overlap around the top. Remove the crusts from the brioche and slice the loaf into 1cm-thick slices along the length of the loaf. Cut 1 slice in half widthways and trim the corners to fit into the base of the bowl Ã¢ÂÂ you may need to use both squares, trimmed to fit.Trim the slices to the correct length to line the sides of the bowl. To assemble the pudding, dip the slices of brioche into the fruit juice, then use them to line the basin. Start with the bottom pieces, then lay soaked rectangles of brioche along the sides of the bowl. If you have any gaps left at the end, patch these up with any remaining brioche, but make sure you save some for the base.Tip the fruit into the lined basin. Finish the pudding with a layer of brioche to make a base, then pour over any remaining liquid. Wrap the overhanging cling film over the top.Place a small plate, which will fit snugly on top of the basin, over the cling film and weigh down with 2 x 400g cans of tomatoes or beans. Leave the pudding weighed down in the fridge for at least a couple of hours, or overnight if possible.To serve, unwrap the cling film and place a serving plate over the pudding. Flip it over, remove the basin and carefully peel away the cling film. Serve in slices with clotted cream, if you like.",https://www.bbcgoodfood.com/recipes/2198657/classic-summer-pudding
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--363933_12.jpg?itok=cm06vhxi,Granny's Victoria sponge,british,non-vegetarian,20 mins,Easy,"200g unsalted butter, softened, plus extra for greasing 200g caster sugar 1 tsp vanilla extract 4 medium eggs 200g self-raising flour, plus extra for dusting about 6 tbsp raspberryjam 250ml double cream, whipped icing sugar, for dusting","Heat oven to 190C/170C fan/gas 5. Grease and flour twoÃÂ 20cm sandwich tins.Place 200g softened unsaltedÃÂ butter, 200g caster sugar and 1 tsp vanilla extract into a bowl and beatÃÂ well to a creamy consistency.Slowly beat in 4 mediumÃÂ eggs, one by one, then fold in 200g self-raisingÃÂ flour and mix well.ÃÂ Divide the mix between the cake tins, place into the oven and bake for about 20 mins until risen and golden brown. The cakes should spring back when gently pushed in the middle.When ready, remove from the oven and allow to cool for 5 mins in the tin, before turning out onto a wire rack and cooling completely.SpreadÃÂ about 6 tbsp raspberryÃÂ jam onto one cake and top with 250ml whipped doubleÃÂ cream. Sandwich the cakes together and dust with icing sugar.",https://www.bbcgoodfood.com/recipes/532634/grannys-victoria-sponge
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1273682_8.jpg?itok=gZhMkpBP,Mini pork pies with piccalilli,italian,non-vegetarian,38 mins,Easy,"few dots of butter 600g shortcrust pastry, bought or homemade little flour, for dusting 85g dried white breadcrumb 400g good Cumberland sausage(about 6) 200g smoked bacon lardon ÃÂ¼ tsp each ground mace, ground pepper and dried sage 1 egg, beaten with a fork few pinches sesame seeds piccalilli, homemade or bought, to serve","Heat oven to 200C/180C fan/gas 6. Line each hole of a 12-hole muffin tin with a thin strip of baking parchment across the middle thatÃ¢ÂÂs long enough so the ends stick out a centimetre or two Ã¢ÂÂ use a dab of butter to stick in place. Roll out two thirds of the pastry on a lightly floured surface and stamp out 12 x 10cm circles (you may need to re-roll trimmings). Press a circle into each hole to line.Sprinkle 1 tsp of breadcrumbs into the base of each pie. Tip the rest of the crumbs into a mixing bowl. Squeeze in the sausage meat, discarding the skins, along with the bacon, mace, pepper, sage and just a little salt. Get your hands in and mash and squish everything together until the breadcrumbs have just about disappeared. Divide mixture between the holes, packing in firmly and shaping to a dome in the middle.Roll out the remaining pastry and stamp out 12 x 7cm circles. Brush with a little egg and add a top to each pie, egg-side down to stick, carefully pressing pastry edges together to seal. Brush with more egg (donÃ¢ÂÂt throw away leftovers) and sprinkle with sesame seeds. Bake for 30 mins until golden then carefully remove the pies from the tin, using the parchment ends to help you lift them out. Sit on a parchment lined baking tray, brush all round the sides with more egg and put back in the oven for 8 mins. Cool completely then eat with piccalilli, or your favourite pickle.",https://www.bbcgoodfood.com/recipes/2248635/mini-pork-pies-with-piccalilli-
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--967701_11.jpg?itok=GihSZEUp,Cherry & almond tarts,british,non-vegetarian,40 mins,Easy,"375g pack all-butter puff pastry 75g self-raising flour, plus extra for dusting 12 rounded tsp morello cherryjam 75g plain sponge or madeira cake 100g butter, softened 75g ground almond 75g golden caster sugar 2 medium eggs ÃÂ½ tsp almond extract 25g flaked almond 100g icing sugar, sieved to decorate","Very thinly roll out the pastry on a lightly floured surface. Stamp out 12 x 9cm circles with a fluted cutter, if you have one, and use to line a bun tin. Spread 1 rounded tsp of the cherry jam in the bottom of each tart.Whizz the cake to crumbs in a food processor, then tip into a mixing bowl and add the flour, butter, ground almonds, caster sugar, eggs and almond extract. Beat together until smooth, then divide between the tarts, spreading a little with the back of a teaspoon to cover the jam. Scatter over the flaked almonds and openfreeze for 2 hrs, then wrap well in cling film and freeze for up to 2 months.Heat oven to 180C/160C fan/gas 4 with a baking sheet in it. Unwrap the tarts from the freezer and loosely top with a sheet of foil. Bake on the heated baking sheet for 30-40 mins until golden, removing the foil halfway. Cool the tarts a little, then add a splash of water into the icing sugar to make a runny icing. Drizzle over the tarts and leave to set.",https://www.bbcgoodfood.com/recipes/2219676/cherry-and-almond-tarts
//www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1035601_12.jpg?itok=DyIIPJJN,No-fuss shepherd's pie,british,non-vegetarian,1 hr,Easy,"1 tbsp sunflower oil 1 large onion, chopped 2-3 medium carrots, chopped 500g pack lamb mince 2 tbsp tomato purÃÂ©e large splash Worcestershire sauce 500ml beef stock 900g potato, cut into chunks 85g butter 3 tbsp milk","Heat 1 tbsp sunflower oil in a mediumÃÂ saucepan, then soften 1 chopped onion and 2-3 chopped carrots for a few mins.When soft, turn up the heat, crumble in 500g lamb mince and brown, tipping off any excess fat.Add 2 tbsp tomato purÃÂ©e and a large splash of Worcestershire sauce, then fry for a few mins.Pour over 500ml beef stock, bring to a simmer, then cover and cook for 40 mins, uncovering halfway.Meanwhile, heat the oven to 180C/ fan 160C/ gas 4, then make the mash. Boil the 900g potato, cut into chunks, in salted water for 10-15 mins until tender.ÃÂ Drain, then mash with 85g butter and 3 tbsp milk.Put the mince into anÃÂ ovenproof dish, top with the mash and ruffle with a fork. The pie can now be chilled and frozen for up to a month.Bake for 20-25 mins until the top is starting to colour and the mince is bubbling through at the edges. (To bake from frozen, cook at 160C/fan 140C/gas 3 for 1 hr-1 hr 20 mins until piping hot in the centre. Flash under the grill to brown, if you like.)Leave to stand for 5 mins before serving.",https://www.bbcgoodfood.com/recipes/9644/nofuss-shepherds-pie
